max number of element : 411.0
il s'agit des segments d'évolution down : beginValue >= endValue
meilleur score : 280 - 400

minsize  maxsize  error
---------------------------
0    10   2.404775417242381
10   20   1.1138944835828595
20   30   0.8858489899711105
30   40   0.7390728473256906
40   50   0.9029530118156314
50   60   0.7833815821440941
60   70   0.615209945073797
70   80   0.5391362096542394
80   90   0.5240047132795698
90   100  0.38779949230514166
100  110  0.2820626346005575
110  120  0.43690808252859553
120  130  0.48344458675473284
130  140  0.403221527954004
140  150  0.31686615436155807
150  160  0.3135455732437548
160  170  0.2504838949415937
170  180  0.26571362405104104
180  190  0.24592894749332267
190  200  0.21001739990439333
200  210  0.4194763747165379
210  220  0.3997621525700088
220  230  0.374114847245192
230  240  0.3701342001392337
240  250  0.3721245236922128
250  260  0.34378132123570215
260  270  0.13941995868537274
270  280  0.08471128842690989
280  290  0.07973547954446208
290  300  0.07973547954446208
300  310  0.07973547954446208
310  320  0.08222338398568599
320  330  0.07973547954446208
330  340  0.0776565951357677
340  350  0.07936470661189511
350  360  0.07924295589166028
360  370  0.07927774181172738
370  380  0.07941688549199576
380  390  0.07941688549199576
390  400  0.08557874586618927
400  410  0.09174121184839357
410  420  0.018721533402038585
