max number of element : 526.0
il s'agit des segments d'évolution up : beginValue < endValue
meilleur score : 430-450

minsize maxsize error

0   10  1.92191807797
10  20  1.11938807443
20  30  0.78466136808
30  40  0.63546834541
40  50  0.72120658699
50  60  0.62388845053
60  70  0.58170767698
70  80  0.48264562957
80  90  0.42102726662
90  100 0.350870724054
100 110 0.334804492351
110 120 0.49909341955
120 130 0.53828783367
130 140 0.4748139091
140 150 0.40679589142
150 160 0.326140171465
160 170 0.29145244757
170 180 0.29236104857
180 190 0.29444069789
190 200 0.281441830841
200 210 0.32198942818
210 220 0.31900395039
220 230 0.32167711112
230 240 0.32380314702
240 250 0.32357640721
250 260 0.32318219541
260 270 0.320705102663
270 280 0.32349669400
280 290 0.31922290563
290 300 0.282914705066
300 310 0.271226643962
310 320 0.271226643962
320 330 0.271304272612
330 340 0.224781947607
340 350 0.18531141591
350 360 0.18531141591
360 370 0.18531141591
370 380 0.18531141591
380 390 0.18531141591
390 400 0.18531141591
400 410 0.177207213494
410 420 0.14920574088
420 430 0.142018495788
430 440 0.132435502328
440 450 0.132435502328
450 460 0.141160091120
460 470 0.171696151893
470 480 0.194089920510
480 490 0.29859417405
490 500 0.29859417405
500 510 0.29859417405
510 520 0.29859417405
520 530 0.298594174055
